Secretaria / Organismo;Programa Operativo;Archivo Fuente;Campo Disponible;Descripcion del campo
ANSES;ANSES;anses;Prestacion_Jubilacion_Anticipada_Fl;Indica si el CUIL es beneficiario de Jubilación Anticipada en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_Jubilacion_Anticipada_Vl;Monto bruto de Jubilación Anticipada.
ANSES;ANSES;anses;Primer_Periodo_Cobro_Jubilacion_Anticipada_Nu;Período de la primera liquidación de Jubilación Anticipada. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_Jubilacion_Anticipada_Nu;Período de la última liquidación de Jubilación Anticipada. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_Moratoria_Fl;Indica si el CUIL es beneficiario de Moratoria en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_Moratoria_Vl;Monto bruto de Moratoria.
ANSES;ANSES;anses;Primer_Periodo_Cobro_Moratoria_Nu;Período de la primera liquidación de Moratoria. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_Moratoria_Nu;Período de la última liquidación de Moratoria. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_Contencion_Fl;Indica si el CUIL es beneficiario de Contención en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_Contencion_Vl;Monto bruto de Contención.
ANSES;ANSES;anses;Primer_Periodo_Cobro_Contencion_Nu;Período de la primera liquidación de Contención. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_Contencion_Nu;Período de la última liquidación de Contención. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_PC_Fl;Indica si el CUIL es beneficiario de Pensión con Componente (PC) en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_PC_Vl;Monto bruto de Pensión con Componente.
ANSES;ANSES;anses;Primer_Periodo_Cobro_PC_Nu;Período de la primera liquidación de Pensión con Componente. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_PC_Nu;Período de la última liquidación de Pensión con Componente. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_Pensiones_Derivadas_Fl;Indica si el CUIL es beneficiario de Pensiones Derivadas en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_Pensiones_Derivadas_Vl;Monto bruto de Pensiones Derivadas.
ANSES;ANSES;anses;Primer_Periodo_Cobro_Pensiones_Derivadas_Nu;Período de la primera liquidación de Pensiones Derivadas. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_Pensiones_Derivadas_Nu;Período de la última liquidación de Pensiones Derivadas. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_AAFF_Desempleo_Fl;Indica si el CUIL es beneficiario de AAFF por Desempleo en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AAFF_Desempleo_Vl;Monto bruto de AAFF por Desempleo.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AAFF_Desempleo_Nu;Período de la primera liquidación de AAFF por Desempleo. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AAFF_Desempleo_Nu;Período de la última liquidación de AAFF por Desempleo. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_Deuda_Previsional_Fl;Indica si el CUIL es beneficiario de Deuda Previsional en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_Deuda_Previsional_Vl;Monto bruto de Deuda Previsional.
ANSES;ANSES;anses;Primer_Periodo_Cobro_Deuda_Previsional_Nu;Período de la primera liquidación de Deuda Previsional. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_Deuda_Previsional_Nu;Período de la última liquidación de Deuda Previsional. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
